"year","from","to","bundesland","variable_x","variable_y","R-value","p-value","population_density"
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.964208860515793,1.64641631887355e-41,4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.632057457216063,3.39003250636753e-09,4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline","parks_percent_change_from_baseline",0.00838029653190034,0.944701922716863,4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.965829469748256,3.41914868703777e-42,4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline","workplaces_percent_change_from_baseline",1,0,4118
"2020","2020-02-15","2020-05-25","Berlin","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline",-0.965466933665958,4.8914864473267e-42,4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.474813752850727,2.86866762270899e-05,4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.300783070215449,0.0108102159331938,4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline","parks_percent_change_from_baseline",0.442647400560033,0.000110945112868512,4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.676758698942464,9.25660384425916e-11,4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline","workplaces_percent_change_from_baseline",1,0,4118
"2020","2020-09-11","2020-12-20","Berlin","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline",-0.610849016578136,1.54074635681884e-08,4118
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.870961050539937,5.56056870135377e-23,186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.739830652864389,1.7010364154377e-13,186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline","parks_percent_change_from_baseline",-0.233677383729438,0.0498444064859874,186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.904075814721381,3.54002923393172e-27,186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline","workplaces_percent_change_from_baseline",1,0,186
"2020","2020-02-15","2020-05-25","Bavaria","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline",-0.955447809799728,2.71725658675419e-38,186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline",0.493681125326411,1.21542910565924e-05,186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline",0.346508670724926,0.00307434274387648,186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline","parks_percent_change_from_baseline",0.0882292354628421,0.464372784660094,186
"2020","2020-09-11","2020-12-20","Bavaria","workplaces_percent_change_from_baseline","transit_stations_percent_change_from_baseline",0.595178289265703,4.398299785503e-08,186
